"ID","Title","Section","Priority","Business_Rule","Edge_Case_Refs","Preconditions","Test_Data","Steps","Assertions","Cross_Layer_Checks","Failure_Signals","Cleanup","References","Automation_Status"
"ORD-052","Order List - Status Filter Combined With Sort Preserved","Orders > Filtering","Critical","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has orders in at least 2 statuses; date column sortable","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [KEY] note unfiltered total count and current default sort direction; [ACT] click 'Filters' button to open the Filters popover; [WAIT] popover visible with order-status checkbox group; [ACT] check the checkbox for a non-default status (e.g. 'Completed' or 'New'); [ASSERT] verify 'Apply' button is enabled; [ACT] click 'Apply'; [WAIT] popover closes and filtered results render; [KEY] note filtered count and that all visible rows match selected status; [ACT] change sort to date ascending (click date column header or sort selector); [WAIT] re-sorted list rendered; [ASSERT] verify status filter chip/indicator still shows the selected status as active; [ASSERT] verify visible rows still only match the selected status (filter did NOT reset on sort change); [ASSERT] verify dates are in ascending order (sort applied); [ASSERT] verify row count = previously noted filtered count (no rows lost or added); [ACT] toggle sort to date descending; [WAIT] re-sorted list rendered; [ASSERT] verify filter still applied AND descending order honored; [ASSERT] verify row count unchanged","[STATE] status filter remains active across sort changes (filter chip visible, all rows match status); [STATE] sort direction switches correctly on each toggle; [MATH] row count after filter+sort = row count after filter only; [STATE] no orders matching other statuses leak into results when sort is changed; [DOM] active filter indicator and active sort indicator both visible simultaneously","[API] orders query payload includes BOTH status filter param AND sort param on each sort change; [CONSOLE] no JS errors during combined filter+sort interaction; [NETWORK] 2xx on each filtered+sorted request","Changing sort clears the status filter (rows of other statuses reappear); sort change resets filter chip to default; row count changes after sort toggle indicating filter dropped; only filter OR sort applied at a time","Clear filter and reset sort to default before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — GAP-OHF-002","Validated"
"ORD-053","Order List - Status Filter Persists Across Order Detail Navigation and Back","Orders > Filtering","High","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has orders in multiple statuses","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [ACT] click 'Filters' button to open the Filters popover; [WAIT] popover visible; [ACT] check the checkbox for any specific status (live-discover first status whose count > 0); [ACT] click 'Apply'; [WAIT] popover closes and filtered list rendered; [KEY] note filtered row count and the order number of the first visible row; [ACT] click the first visible order row to open its detail; [WAIT] order detail page rendered; [ASSERT] verify navigated to /account/orders/<order-number> or equivalent detail route; [ACT] use browser back navigation (navigate_back); [WAIT] orders list reloaded; [ASSERT] verify filter chip/indicator still shows the previously selected status as active; [ASSERT] verify visible row count matches the previously noted filtered count; [ASSERT] verify the same first order row is still the first visible row (sort/filter state preserved, not reset to default)","[STATE] status filter persists across navigation to order detail and back; [STATE] filter indicator remains visible after back navigation; [MATH] post-back filtered row count = pre-navigation filtered row count; [STATE] list order (first row identity) preserved after back navigation; [DOM] no flash of unfiltered full list during back navigation","[API] orders list query on back navigation re-applies the same status filter param; [CONSOLE] no JS errors during back navigation; [NETWORK] 2xx on orders list reload","Filter reset to default after back navigation (full unfiltered list returned); flash of unfiltered list visible during transition; first row identity changes indicating sort or filter dropped; URL retains filter param but UI does not honor it","Clear filter before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — GAP-OHF-001","Draft"
"ORD-054","Order List - Date Range Filter Rejects Start Date After End Date","Orders > Filtering","High","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has orders; date range filter control present on /account/orders","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [ACT] click 'Filters' button to open the Filters popover; [WAIT] popover visible with 'Created date' section; [ASSERT] 'Created date' combobox shows 'Custom date'; [ACT] type today's date (MM/DD/YYYY) into aria-label='Start date' input; [ACT] type a date 30 days BEFORE today into aria-label='End date' input (deliberately inverted range); [ACT] click 'Apply'; [WAIT] short wait for UI response (validation message OR auto-swap behavior OR Apply button stays disabled); [ASSERT] verify EITHER (a) inline validation error shown indicating start must be before end and filter NOT applied, OR (b) UI auto-swaps the dates so start < end and applies filter normally; [ASSERT] verify NO crash, blank page, or unhandled JS error occurs; [ASSERT] verify NO orders displayed with dates outside the (corrected or original) date window; [COND: validation path] verify start date picker visually flags the invalid state (red border / aria-invalid); [COND: auto-swap path] verify the swapped dates are reflected in the picker inputs","[DOM] one of: validation error message visible OR dates auto-swapped in picker inputs (both are acceptable defensive behaviors); [STATE] filter is not applied with literally-inverted range; [STATE] no orders displayed for a logically empty/inverted range; [DOM] no blank page or JS error toast","[API] no orders request sent with literally inverted range (start > end) - runner inspects /graphql or /api network calls; [CONSOLE] no unhandled TypeError or Promise rejection from date validation; [NETWORK] no 4xx/5xx on date filter interaction","Inverted range silently accepted with no validation and no auto-swap (e.g. backend called with start > end returning empty result with no user feedback); JS error/crash on inverted range; date picker permits invalid state with no indication","Clear date filter before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — GAP-OHF-003","Draft"
"ORD-055","Order List - Date Range Filter With Same Start and End Date (Single-Day Boundary)","Orders > Filtering","High","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has at least one order placed on a known specific date","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered with default sort (newest first); [KEY] note the order date of the most recent visible order (call it D); [ACT] click 'Filters' button to open the Filters popover; [WAIT] popover visible with 'Created date' section; [ACT] type D (MM/DD/YYYY) into aria-label='Start date'; [ACT] type D (MM/DD/YYYY) into aria-label='End date' (single-day inclusive boundary); [ACT] click 'Apply'; [WAIT] popover closes and filtered results rendered; [ASSERT] verify at least one order is displayed (the noted most-recent order with date = D); [ASSERT] verify every visible row has a displayed order date equal to D (no rows from D-1 or D+1); [ASSERT] verify filter chip/indicator shows the active date range as 'D to D' or equivalent single-day label; [ACT] change end date to D+1 (next day, expanding the window); [WAIT] re-filtered list rendered; [ASSERT] verify row count is >= the single-day count (window widened, not narrowed)","[STATE] single-day inclusive range returns orders dated exactly D (both start and end boundaries inclusive); [MATH] count(orders with date=D) is non-zero given the preconditions; [STATE] widening end to D+1 produces a row count >= the D-only count (monotonic non-decreasing); [FORMAT] date label in filter indicator readable (e.g. 'May 26, 2026 - May 26, 2026' or 'May 26, 2026'); [DOM] no empty-state shown for the valid single-day range","[API] orders query date params include start=D AND end=D (inclusive boundary applied); [CONSOLE] no JS errors on single-day filter; [NETWORK] 2xx on filtered request","Single-day range returns empty results despite a known matching order (exclusive boundary bug); date picker rejects same start/end as invalid (defensive validation too strict); widening to D+1 returns FEWER rows than D-only (broken range logic)","Clear date filter before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — GAP-OHF-004","Draft"
"ORD-056","Order List - Status Filter Combined With Search Query (Intersection)","Orders > Filtering","High","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has orders in multiple statuses and the first visible order's order-number prefix matches at least one OTHER order to ensure search yields >1 result before status filter narrows it","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [KEY] note total unfiltered count and the first 3-5 chars of the first visible order number (call it PREFIX); [ACT] enter PREFIX in the search field; [KEY] press Enter; [WAIT] search results rendered; [KEY] note search-only count (call it S) - should be >= 1; [ASSERT] verify all visible rows contain PREFIX in their order number; [ACT] click 'Filters' button to open the Filters popover; [WAIT] popover visible; [ACT] check the checkbox for a status known to be present in the searched results (live-discover one status visible in the search-only result); [ACT] click 'Apply'; [WAIT] popover closes and combined filter+search results rendered; [KEY] note combined count (call it C); [ASSERT] verify C <= S (combination narrows, never widens); [ASSERT] verify every visible row matches BOTH the search PREFIX AND the selected status (intersection, not union); [ACT] clear status filter only; [WAIT] back to search-only results; [ASSERT] verify count returns to S (filter cleared, search retained)","[MATH] combined count C <= search-only count S; [MATH] C <= status-only count too (combined is intersection); [STATE] every visible row in combined view matches BOTH conditions (search-text AND status); [STATE] clearing one of the two restores results to the other dimension alone (search clears but status stays, or vice versa); [DOM] both filter chip AND search query indicator visible simultaneously when both applied","[API] orders query payload includes BOTH search-text param AND status filter param when combined; [CONSOLE] no JS errors during combined search+filter interaction; [NETWORK] 2xx on each request","Combined view shows union instead of intersection (more rows than search-only, indicating OR semantics); applying filter clears search query (or vice versa); combined count exceeds either individual count","Clear both search and filter before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — GAP-OHF-005","Draft"
"ORD-057","Order List - Status Filter Persists Across Pagination","Orders > Filtering","High","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has enough orders in a single status to span at least 2 pages (typically 20+ orders matching the chosen status given default page size)","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [ACT] click 'Filters' button to open the Filters popover; [WAIT] popover visible; [ACT] check the checkbox for a status with >1 page worth of matching orders (live-discover the status with highest count); [ACT] click 'Apply'; [WAIT] popover closes and filtered page 1 rendered; [ASSERT] verify pagination controls visible (indicates >1 page of filtered results); [KEY] note page 1 row count and first/last order numbers visible; [ACT] click 'Next' or page 2 button; [WAIT] page 2 rendered; [ASSERT] verify filter chip/indicator still shows the selected status as active; [ASSERT] verify every visible row on page 2 matches the selected status (filter NOT dropped on page change); [ASSERT] verify page 2 orders differ from page 1 (no overlap); [ACT] click 'Previous' or page 1 button; [WAIT] page 1 reloaded; [ASSERT] verify filter still active on page 1; [ASSERT] verify same orders/order count as initial page 1 view","[STATE] status filter persists across page 1 -> page 2 -> page 1 navigation; [STATE] every page in the filtered paginated view shows only matching status; [STATE] page 2 content distinct from page 1 (no duplicates); [STATE] returning to page 1 restores the original page 1 view; [DOM] pagination control reflects current page across filter+pagination interactions","[API] orders query payload includes status filter param on EVERY pagination request (page 1, page 2, back to page 1); [CONSOLE] no JS errors during paginated filter navigation; [NETWORK] 2xx on each page request","Filter dropped when moving to page 2 (rows of other statuses appear); page 2 shows duplicate of page 1; back navigation to page 1 loses filter; pagination control disappears or freezes mid-flow","Clear filter and return to page 1 before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — GAP-OHF-006","Draft"
"ORD-058","Order List - Filter State Restoration on Browser Refresh","Orders > Filtering","High","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has orders in multiple statuses","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [ACT] click 'Filters' button to open the Filters popover; [WAIT] popover visible; [ACT] check the checkbox for any non-default status; [ACT] click 'Apply'; [WAIT] popover closes and filtered results rendered; [KEY] note filtered count, the active filter status label, and the FULL URL bar (capture any query params); [ACT] reload the page (browser refresh / F5); [WAIT] page fully reloaded; [COND: URL contained filter params before refresh] verify URL params are unchanged after refresh AND verify filter is restored visually (chip/indicator + matching row count); [COND: URL did NOT contain filter params] verify filter state is RESET to default after refresh (full unfiltered list shown) - this is the explicit observation for whether storefront persists filter in URL vs ephemeral component state; [ASSERT] document which behavior was observed (URL-persisted OR ephemeral) in the test evidence - both outcomes are valid product decisions but must be consistent","[STATE] post-refresh behavior matches pre-refresh URL contents (URL-driven persistence model): either both URL+UI restored OR both reset; [DOM] no broken state where URL has filter params but UI does not honor them (or vice versa); [NAV] URL after refresh is identical to URL before refresh (browser refresh is a no-op on URL); [DOM] no JS error or blank page on refresh","[API] if URL params present pre-refresh then orders query on refresh re-applies them; if URL params absent then unfiltered query fires; [CONSOLE] no JS errors during refresh; [NETWORK] 2xx on post-refresh orders query","URL contains filter param but UI ignores it after refresh (broken deep-link); URL has no params but UI tries to restore filter from stale local state causing mismatch; refresh causes blank page or JS crash; URL params change unexpectedly on refresh","Clear filter before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — GAP-OHF-007","Draft"
"ORD-059","Order List - Search by Partial / Prefix Order Number","Orders > Filtering","High","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has at least one order","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [KEY] live-discover the order number of the first visible order (call it FULL); [KEY] derive PREFIX = first 4-5 characters of FULL; [ACT] enter PREFIX in the search field; [KEY] press Enter or trigger search; [WAIT] search results rendered; [ASSERT] verify at least one row is returned (the order with order number FULL must appear); [ASSERT] verify every returned row's order number contains PREFIX (substring match - leading prefix or contained substring per storefront's search semantics); [ASSERT] verify the original FULL order is among the results; [ACT] clear the search field; [WAIT] full list restored; [ASSERT] verify list returns to unfiltered baseline","[DOM] FULL order number visible in filtered results (the known order is among matches, not just 'at least one' row); [STATE] every returned row's order number contains the entered substring; [DOM] no empty state for a valid prefix that matches at least one existing order; [STATE] clearing search restores full unfiltered list","[API] orders search query payload uses the partial string as a search/like parameter (not as an exact match filter); [CONSOLE] no JS errors during partial search; [NETWORK] 2xx on search request","Partial prefix search returns empty results despite a known matching order (exact-match-only bug); search treats prefix as a regex causing JS error; clearing search does not restore full list","Clear search before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — GAP-OHF-008","Draft"
"ORD-060","Order List - B2B Org-Scoped Filtering Respects Organization Context","Orders > Filtering > B2B","High","BL-AUTH-005","ECL-3.2","[PRE:CLEAR_SESSION]
[PRE:SIGNIN_AS:ORG_USER]
B2B buyer logged in as {{ORG_USER_EMAIL}} (has role granting company-wide orders visibility); the org has at least one other member who has placed orders AND the signed-in user has placed at least one personal order so the org-scope view contains orders from multiple members","url={{FRONT_URL}};user={{ORG_USER_EMAIL}};password={{ORG_USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [ASSERT] verify scope toggle/selector is visible IF the storefront exposes a 'My Orders' vs 'Company Orders' (or equivalent org-scope) switch - otherwise the default view IS the org-scoped one per role; [KEY] note the row count and at least one order belonging to another org member (identify by buyer/contact column if present, otherwise live-discover via the order detail page); [ACT] click 'Filters' button to open the Filters popover; [WAIT] popover visible; [ACT] check the checkbox for any present status; [ACT] click 'Apply'; [WAIT] popover closes and filtered results rendered; [ASSERT] verify the filtered results include orders placed by OTHER org members (not just orders placed by the signed-in user) - confirms filter operates within org scope, not silently narrowed to current-user-only; [ASSERT] verify no orders belonging to organizations OTHER than the current org appear in the results; [ACT] clear filter; [WAIT] full org-scoped list restored","[STATE] org-scope view includes orders from multiple org members when current user has company-wide role; [STATE] applied filter operates over the full org-scope set (not silently re-scoped to current-user-only); [STATE] no orders from other organizations leak into the view; [DOM] (if scope toggle present) toggle label correctly reflects current scope; [STATE] clearing filter restores full org-scoped list, not a re-scoped current-user-only list","[API] orders query payload includes the org-scope parameter (e.g. organizationId or scope=org) on both unfiltered and filtered requests; [CONSOLE] no JS errors during org-scoped filtering; [NETWORK] 2xx on org-scoped query; [API] no orders from other orgs returned (verify in API response)","Filter silently re-scopes to current-user-only orders ignoring org-scope; orders from other organizations appear in results (cross-org leak - security/privacy bug); scope toggle present but non-functional; clearing filter changes the scope unexpectedly","Clear filter; sign out of B2B user before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — GAP-OHF-009","Draft"
"ORD-061","Order List - Active Filter Chip Removal Affects Only That Filter","Orders > Filtering","Medium","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has orders in multiple statuses with date diversity to permit a multi-filter scenario","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [ACT] click 'Filters' button to open the Filters popover; [WAIT] popover visible; [ACT] check the checkbox for any non-default status (Filter A); [ACT] select the 'Last month' preset from the 'Created date' combobox (Filter B — using a preset avoids the typed-input flow); [ACT] click 'Apply'; [WAIT] popover closes and combined-filtered list rendered; [KEY] note combined count and verify exactly 2 active filter chips visible (one for status, one for date range); [ACT] locate the X / remove control on the STATUS filter chip and click it (remove only Filter A); [WAIT] list re-rendered with only Filter B active; [ASSERT] verify exactly 1 active filter chip visible (date range remains); [ASSERT] verify visible orders match the date-range filter but include orders of ALL statuses (status filter has been removed, not just hidden); [ASSERT] verify row count >= the previous combined count (relaxing one filter widens or equals results); [ACT] click X on the date-range filter chip; [WAIT] list re-rendered fully unfiltered; [ASSERT] verify no active filter chips remain; [ASSERT] verify row count = total unfiltered count","[STATE] removing one chip removes exactly that one filter - other active filters persist; [STATE] chip removal is incremental, not a 'clear all' shortcut; [MATH] row count after removing 1 of 2 filters >= row count with both filters applied; [MATH] row count after removing both filters = total unfiltered count; [DOM] chip count after each removal matches the number of remaining active filters","[API] orders query payload after removing Filter A retains Filter B param only; [API] payload after removing Filter B contains no filter params; [CONSOLE] no JS errors during chip removal; [NETWORK] 2xx on each post-removal request","Removing one chip clears ALL filters (acts as 'clear all' shortcut - wrong granularity); removing a chip leaves the filter active under the hood; chip X button non-functional or invisible; row count decreases when relaxing a filter (broken logic)","Clear all filters before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — GAP-OHF-010","Draft"
"ORD-062","Date Picker — Custom Range End Boundary Dropped from GraphQL Filter (P0 Bug Probe)","Orders > Date Filter","Critical","BL-ORD-001","ECL-3.1","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has at least 2 orders whose creation dates are more than 30 days apart (so a narrow Custom range can exclude at least one later order); Filters popover available on /account/orders","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [KEY] live-discover the order dates of the first (newest) and last (oldest) visible orders — call them D_LATEST and D_OLDEST; [KEY] compute D_MID = a date roughly in the middle of that range but at least 14 days before D_LATEST (so at least one order is expected to be excluded); [ACT] click 'Filters' button to open the Filters popover; [WAIT] popover visible with 'Created date' section; [ASSERT] verify 'Created date' combobox shows 'Custom date' as current value (default); [ACT] fill aria-label='Start date' input with D_OLDEST formatted as MM/DD/YYYY; [ACT] fill aria-label='End date' input with D_MID formatted as MM/DD/YYYY; [WAIT] both inputs populated; [ASSERT] verify 'Apply' button is enabled; [ACT] click 'Apply'; [WAIT] filtered results rendered; [ASSERT] verify the order list does NOT contain any order with a creation date after D_MID (the narrow range must exclude later orders); [ASSERT] verify at least one order IS visible (the range is not empty)","[STATE] filtered list contains no orders created after D_MID; [STATE] filtered list contains at least one order created within [D_OLDEST, D_MID]; [MATH] count of visible orders < unfiltered count (the range excluded at least one later order); [STATE] filter chip or label shows an active date range; [DOM] no empty-state message (the range is not empty — D_OLDEST is within the range)","[NETWORK] POST /graphql GetOrders — intercept the request body; [API] request variable 'filter' contains BOTH createddate lower bound (e.g. createddate:[\"...T...Z\" TO \"...T...Z\"]) AND upper bound — assert both bounds present in the filter string (not just lower bound with open TO); [CONSOLE] no JS errors during filter apply; [NETWORK] 2xx on GetOrders request","Filter chip shows date range but returned orders include dates after D_MID (End bound dropped from GraphQL filter); GQL filter string contains 'TO]' with no upper bound instead of 'TO \"...\"'; orders from D_LATEST visible in filtered results; NETWORK inspection shows only lower bound in createddate Lucene clause","Clear date filter before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — DP-01","Generated — verified PASS on 2026-05-26 manual repro (Path A typed + Path B calendar both produced closed-range GQL filter)"
"ORD-063","Date Picker — 'Last Day' Preset Sends Both Bounds in GraphQL Filter","Orders > Date Filter","Critical","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has at least 1 order; Filters popover available on /account/orders","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [ACT] click 'Filters' button; [WAIT] popover visible with 'Created date' combobox; [ACT] select 'Last day' from the 'Created date' combobox (aria-label='Created date'); [WAIT] Custom date inputs disappear (only the combobox remains with value 'Last day'); [ASSERT] verify 'Apply' button is enabled; [ACT] click 'Apply'; [WAIT] filtered results rendered","[STATE] Custom date input fields are hidden when 'Last day' preset is active (combobox-only UI); [DOM] active filter chip or label references 'Last day' or equivalent label; [STATE] visible orders have creation dates within the last 24 hours (or an empty list if no recent orders — empty is acceptable, not a failure)","[NETWORK] POST /graphql GetOrders — intercept the request body; [API] request variable 'filter' contains BOTH a lower bound AND an upper bound in the createddate range clause (e.g. createddate:[\"...T...Z\" TO \"...T...Z\"]) — assert NEITHER bound is missing; [API] lower bound timestamp is approximately now-24h; [API] upper bound timestamp is approximately now; [CONSOLE] no JS errors on preset apply; [NETWORK] 2xx on GetOrders request","GetOrders request body contains open-ended TO] (no upper bound) for a preset that should have a fixed 24h window; filter chip absent after Apply; JS error on preset switch; 500 or errors[] non-empty in GetOrders response","Clear date filter before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — DP-02","Draft"
"ORD-064","Date Picker — 'Last Week' Preset Sends Both Bounds in GraphQL Filter","Orders > Date Filter","Critical","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has at least 1 order; Filters popover available on /account/orders","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [ACT] click 'Filters' button; [WAIT] popover visible with 'Created date' combobox; [ACT] select 'Last week' from the 'Created date' combobox; [WAIT] Custom date inputs disappear; [ASSERT] verify 'Apply' button is enabled; [ACT] click 'Apply'; [WAIT] filtered results rendered","[STATE] Custom date inputs hidden when 'Last week' active; [DOM] active filter indicator references 'Last week' or the 7-day date range; [STATE] visible orders have creation dates within the last 7 days (empty list acceptable if no orders in that window)","[NETWORK] POST /graphql GetOrders — inspect request body; [API] filter variable contains createddate:[\"...T...Z\" TO \"...T...Z\"] with both lower (~now-7d) and upper (~now) bounds explicitly set; [API] neither bound is missing or open-ended; [CONSOLE] no JS errors; [NETWORK] 2xx on GetOrders","Open-ended TO] for 'Last week' (upper bound dropped); filter chip absent after Apply; preset switch JS error; GetOrders errors[] non-empty","Clear date filter before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — DP-03","Draft"
"ORD-065","Date Picker — 'Last Month' Preset Sends Both Bounds in GraphQL Filter","Orders > Date Filter","Critical","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has at least 1 order; Filters popover available on /account/orders","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [ACT] click 'Filters' button; [WAIT] popover visible with 'Created date' combobox; [ACT] select 'Last month' from the 'Created date' combobox; [WAIT] Custom date inputs disappear; [ASSERT] verify 'Apply' button is enabled; [ACT] click 'Apply'; [WAIT] filtered results rendered","[STATE] Custom date inputs hidden when 'Last month' active; [DOM] active filter indicator references 'Last month' or the ~30-day date range; [STATE] visible orders dated within the last calendar month (empty acceptable if none exist)","[NETWORK] POST /graphql GetOrders — inspect request body; [API] filter variable contains createddate:[\"...T...Z\" TO \"...T...Z\"] — both lower (~now-30d) and upper (~now) bounds present and non-empty; [CONSOLE] no JS errors; [NETWORK] 2xx on GetOrders","Open-ended TO] for 'Last month'; no filter chip after Apply; preset switch JS error; GetOrders errors[] non-empty","Clear date filter before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — DP-04","Draft"
"ORD-066","Date Picker — 'Last Year' Preset Sends Both Bounds in GraphQL Filter","Orders > Date Filter","Critical","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has at least 1 order; Filters popover available on /account/orders","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [ACT] click 'Filters' button; [WAIT] popover visible with 'Created date' combobox; [ACT] select 'Last year' from the 'Created date' combobox; [WAIT] Custom date inputs disappear; [ASSERT] verify 'Apply' button is enabled; [ACT] click 'Apply'; [WAIT] filtered results rendered","[STATE] Custom date inputs hidden when 'Last year' active; [DOM] active filter indicator references 'Last year' or the ~365-day date range; [STATE] visible orders dated within the last calendar year (empty acceptable if none exist)","[NETWORK] POST /graphql GetOrders — inspect request body; [API] filter variable contains createddate:[\"...T...Z\" TO \"...T...Z\"] — both lower (~now-365d) and upper (~now) bounds present; [CONSOLE] no JS errors; [NETWORK] 2xx on GetOrders","Open-ended TO] for 'Last year'; no filter chip after Apply; GetOrders errors[] non-empty","Clear date filter before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — DP-05","Draft"
"ORD-067","Date Picker — Start-Only Entry Produces 'From X Onward' Open-Ended Filter","Orders > Date Filter","High","BL-ORD-001","ECL-3.2","[PRE:SIGNIN_AS:USER_DEFAULT]
Buyer logged in as {{USER_EMAIL}}; account has at least 2 orders with different creation dates; Filters popover available","url={{FRONT_URL}};user={{USER_EMAIL}};password={{USER_PASSWORD}}","[NAV] Navigate to {{FRONT_URL}}/account/orders; [WAIT] orders list rendered; [KEY] live-discover order date of the OLDEST visible order — call it D_OLDEST; [KEY] live-discover order date of a MIDDLE-dated order (not the newest) — call it D_MID; [ACT] click 'Filters' button; [WAIT] popover visible; [ASSERT] verify preset = 'Custom date' (default); [ACT] fill aria-label='Start date' with D_MID as MM/DD/YYYY; [ASSERT] verify aria-label='End date' remains empty; [ASSERT] verify 'Apply' button enabled (dirty-state gate triggers on Start-only entry); [ACT] click 'Apply'; [WAIT] filtered results rendered","[STATE] orders on or after D_MID are returned; [STATE] orders before D_MID are NOT returned; [STATE] the total visible count is less than the unfiltered count (some older orders are excluded); [DOM] active filter indicator shows a start date with no end date, or 'from D_MID' style label","[NETWORK] POST /graphql GetOrders — inspect request body; [API] filter variable contains a createddate lower bound (e.g. createddate:[\"...T...Z\" TO]) with no upper bound — this open-ended behavior is acceptable for Start-only entry; [CONSOLE] no JS errors on Start-only apply; [NETWORK] 2xx on GetOrders","Apply button disabled despite Start filled (over-strict validation); filter ignored (full unfiltered list returned); orders before D_MID appear in results; JS error on Start-only apply","Clear date filter before next test","Coverage Gap Analysis — COV-2026-05-26-1430 — DP-06","Draft"
